X1,X2,y
29.0,6.0,9.421102
30.0,6.0,14.561459
31.0,6.0,16.526291
32.0,6.0,22.790581
33.0,6.0,27.734484
34.0,6.0,44.354696
35.0,6.0,57.684174
36.0,6.0,56.30677
37.0,6.0,54.70299
38.0,6.0,50.57392
39.0,6.0,46.23339
40.0,6.0,41.62562
1.0,7.0,22.57811
2.0,7.0,30.0656
3.0,7.0,37.9875
4.0,7.0,35.04409
5.0,7.0,29.66249
6.0,7.0,27.51969
7.0,7.0,31.55076
8.0,7.0,43.14795
9.0,7.0,48.04033
10.0,7.0,42.62462
11.0,7.0,40.31644
12.0,7.0,45.002816
13.0,7.0,31.961236
14.0,7.0,43.642719
15.0,7.0,21.017423
16.0,7.0,44.664244
17.0,7.0,49.599865
18.0,7.0,59.27852
19.0,7.0,33.51048
20.0,7.0,27.79292
21.0,7.0,39.11433
22.0,7.0,40.29818
23.0,7.0,36.23002
24.0,7.0,25.55594
25.0,7.0,12.47509
26.0,7.0,24.835613
27.0,7.0,28.779822
28.0,7.0,29.40431
29.0,7.0,43.013937
30.0,7.0,25.648972
31.0,7.0,38.152075
32.0,7.0,40.466404
33.0,7.0,37.532038
34.0,7.0,49.769619
35.0,7.0,52.343411
36.0,7.0,54.48671
37.0,7.0,43.31223
38.0,7.0,46.67561
39.0,7.0,41.24794
40.0,7.0,38.87387
1.0,8.0,39.66066
2.0,8.0,34.67573
3.0,8.0,27.53088
4.0,8.0,31.7493
5.0,8.0,27.41799
6.0,8.0,40.94712
7.0,8.0,43.93412
8.0,8.0,36.89839
9.0,8.0,43.47779
10.0,8.0,48.28862
11.0,8.0,44.761402
12.0,8.0,47.813635
13.0,8.0,41.011846
14.0,8.0,40.680222
15.0,8.0,42.004729
16.0,8.0,39.74037
17.0,8.0,29.388818
18.0,8.0,21.64406
19.0,8.0,13.66026
20.0,8.0,26.01299
21.0,8.0,26.27285
22.0,8.0,36.47131
23.0,8.0,29.87921
24.0,8.0,29.386631
25.0,8.0,29.442523
26.0,8.0,29.772678
27.0,8.0,31.188778
28.0,8.0,55.156807
29.0,8.0,55.332983
30.0,8.0,57.209309
31.0,8.0,58.930848
32.0,8.0,59.630692
33.0,8.0,52.882956
34.0,8.0,40.021278
35.0,8.0,40.164161
36.0,8.0,37.24672
37.0,8.0,40.63006
38.0,8.0,51.70526
39.0,8.0,40.72029
40.0,8.0,39.35081
1.0,9.0,42.06185
2.0,9.0,51.56163
3.0,9.0,41.154
4.0,9.0,38.96316
5.0,9.0,39.84656
6.0,9.0,42.93349
7.0,9.0,38.2457
8.0,9.0,40.67155
9.0,9.0,42.17127
10.0,9.0,41.66459
11.0,9.0,29.571928
12.0,9.0,25.844301
13.0,9.0,29.098322
14.0,9.0,30.075406
15.0,9.0,31.026247
16.0,9.0,30.595968
17.0,9.0,19.768451
18.0,9.0,20.7994
19.0,9.0,20.63533
20.0,9.0,22.34759
21.0,9.0,20.39709
22.0,9.0,13.11308
23.0,9.0,16.915598
24.0,9.0,18.862253
25.0,9.0,27.245619
26.0,9.0,36.202925
27.0,9.0,42.573715
28.0,9.0,41.681774
29.0,9.0,44.469766
30.0,9.0,57.920295
31.0,9.0,65.723212
32.0,9.0,48.932478
33.0,9.0,44.873083
34.0,9.0,41.400691
35.0,9.0,44.469527
36.0,9.0,41.53942
37.0,9.0,45.21586
38.0,9.0,37.70845
39.0,9.0,37.52124
40.0,9.0,32.937309
1.0,10.0,36.076505
2.0,10.0,42.6043
3.0,10.0,42.04634
4.0,10.0,36.55859
5.0,10.0,50.8353
6.0,10.0,48.03956
7.0,10.0,40.66405
8.0,10.0,42.49908
9.0,10.0,35.03963
10.0,10.0,31.088866
11.0,10.0,19.854366
12.0,10.0,21.617939
13.0,10.0,31.006429
14.0,10.0,29.764845
15.0,10.0,28.580105
16.0,10.0,28.138646
17.0,10.0,27.967433
18.0,10.0,32.73706
19.0,10.0,21.03538
20.0,10.0,19.7541
21.0,10.0,10.425644
22.0,10.0,9.424003
23.0,10.0,9.792669
24.0,10.0,21.262533
25.0,10.0,31.967832
26.0,10.0,38.916709
27.0,10.0,37.749799
28.0,10.0,36.227253
29.0,10.0,32.159588
30.0,10.0,26.60072
31.0,10.0,40.047615
32.0,10.0,31.27687
33.0,10.0,39.686719
34.0,10.0,41.99453
35.0,10.0,43.088573
36.0,10.0,35.06357
37.0,10.0,35.73339
38.0,10.0,44.66931
39.0,10.0,43.05928
40.0,10.0,39.031363
1.0,11.0,22.487284
2.0,11.0,29.200863
3.0,11.0,30.883852
4.0,11.0,30.314677
5.0,11.0,30.863703
6.0,11.0,43.970819
7.0,11.0,30.96381
8.0,11.0,30.777252
9.0,11.0,29.436322
10.0,11.0,21.469033
11.0,11.0,12.543721
12.0,11.0,18.383262
13.0,11.0,13.283876
14.0,11.0,21.279178
15.0,11.0,14.831218
16.0,11.0,19.647151
17.0,11.0,21.84801
18.0,11.0,46.14221
19.0,11.0,46.17463
20.0,11.0,27.34018
21.0,11.0,22.778467
22.0,11.0,18.89185
23.0,11.0,20.77554
24.0,11.0,34.2196
25.0,11.0,36.120883
26.0,11.0,34.257937
27.0,11.0,31.448005
28.0,11.0,28.973747
29.0,11.0,40.516493
30.0,11.0,44.208749
31.0,11.0,63.75156
32.0,11.0,66.766444
33.0,11.0,63.01555
34.0,11.0,59.27001
35.0,11.0,46.05568
36.0,11.0,36.21841
37.0,11.0,38.626054
38.0,11.0,40.165056
39.0,11.0,44.54276
40.0,11.0,32.993621
1.0,12.0,24.710596
2.0,12.0,36.237129
3.0,12.0,40.199625
4.0,12.0,39.913548
5.0,12.0,34.381807
6.0,12.0,41.542326
7.0,12.0,37.436249
8.0,12.0,38.508178
9.0,12.0,41.337239
10.0,12.0,19.398824
11.0,12.0,19.560589
12.0,12.0,21.703166
13.0,12.0,21.376716
14.0,12.0,22.055383
15.0,12.0,19.694574
16.0,12.0,21.580787
17.0,12.0,52.1015
18.0,12.0,52.18449
19.0,12.0,39.79311
20.0,12.0,38.288
21.0,12.0,42.79299
22.0,12.0,42.9435
23.0,12.0,47.85445
24.0,12.0,44.17561
25.0,12.0,40.33117
26.0,12.0,40.20887
27.0,12.0,36.15191
28.0,12.0,36.30814
29.0,12.0,40.737222
30.0,12.0,49.902801
31.0,12.0,53.384042
32.0,12.0,69.44336
33.0,12.0,81.93642
34.0,12.0,80.32108
35.0,12.0,63.9169
36.0,12.0,42.61582
37.0,12.0,42.33427
38.0,12.0,41.344131
39.0,12.0,57.59187
40.0,12.0,54.70645
1.0,13.0,25.862639
2.0,13.0,30.355136
3.0,13.0,33.904818
4.0,13.0,39.104579
5.0,13.0,34.868684
6.0,13.0,38.385175
7.0,13.0,42.041711
8.0,13.0,29.602468
9.0,13.0,21.906236
10.0,13.0,21.803371
11.0,13.0,22.694243
12.0,13.0,22.296256
13.0,13.0,21.039708
14.0,13.0,18.004968
15.0,13.0,18.647692
16.0,13.0,46.91954
17.0,13.0,47.95841
18.0,13.0,43.555016
19.0,13.0,53.14392
20.0,13.0,37.750086
21.0,13.0,62.11364
22.0,13.0,70.27683
23.0,13.0,69.26997
24.0,13.0,63.98202
25.0,13.0,49.84151
26.0,13.0,46.70298
27.0,13.0,38.52704
28.0,13.0,65.91251
29.0,13.0,61.385062
30.0,13.0,62.6071
31.0,13.0,65.389477
32.0,13.0,72.8893
33.0,13.0,87.89077
34.0,13.0,81.4517
35.0,13.0,65.38942
36.0,13.0,39.34247
37.0,13.0,40.144169
38.0,13.0,43.69819
39.0,13.0,58.18321
40.0,13.0,73.10307
1.0,14.0,31.271448
2.0,14.0,31.835797
3.0,14.0,25.728562
4.0,14.0,30.257694
5.0,14.0,26.003761
6.0,14.0,26.942689
7.0,14.0,21.222316
8.0,14.0,33.00505
9.0,14.0,19.864433
10.0,14.0,20.557334
11.0,14.0,19.898168
12.0,14.0,29.048676
13.0,14.0,25.654072
14.0,14.0,32.86591
15.0,14.0,37.76107
16.0,14.0,50.9512
17.0,14.0,48.82419
18.0,14.0,54.4827
19.0,14.0,45.755135
20.0,14.0,44.748864
21.0,14.0,54.10542
22.0,14.0,80.53429
23.0,14.0,72.53301
24.0,14.0,60.88335
25.0,14.0,65.92666
26.0,14.0,84.29752
27.0,14.0,98.85638
28.0,14.0,106.32284
29.0,14.0,95.64235
30.0,14.0,84.383315
31.0,14.0,94.06141
32.0,14.0,96.30979
33.0,14.0,61.45759
34.0,14.0,52.72515
35.0,14.0,61.2451
36.0,14.0,62.87898
37.0,14.0,72.058679
38.0,14.0,80.69971
39.0,14.0,94.37297
40.0,14.0,85.83388
1.0,15.0,24.920728
2.0,15.0,22.02756
3.0,15.0,19.864991
4.0,15.0,25.006915
5.0,15.0,20.230858
6.0,15.0,35.400397
7.0,15.0,30.867213
8.0,15.0,32.358305
9.0,15.0,30.151708
10.0,15.0,22.711623
11.0,15.0,46.77475
12.0,15.0,53.89065
13.0,15.0,62.459687
14.0,15.0,77.11554
15.0,15.0,89.94308
16.0,15.0,84.6839
17.0,15.0,50.66246
18.0,15.0,37.10622
19.0,15.0,45.967294
20.0,15.0,33.055535
21.0,15.0,58.3189
22.0,15.0,60.538003
23.0,15.0,69.11689
24.0,15.0,85.14991
25.0,15.0,95.84554
26.0,15.0,100.473
27.0,15.0,106.4597
28.0,15.0,145.22329
29.0,15.0,124.66944
30.0,15.0,97.02681
31.0,15.0,105.3526
32.0,15.0,96.67877
33.0,15.0,93.0657
34.0,15.0,84.3191
35.0,15.0,89.08946
36.0,15.0,82.36802
37.0,15.0,106.04717
38.0,15.0,111.76734
39.0,15.0,109.59688
40.0,15.0,113.80683
1.0,16.0,26.362907
2.0,16.0,27.83549
3.0,16.0,31.42352
4.0,16.0,24.790502
5.0,16.0,28.650108
6.0,16.0,39.101322
7.0,16.0,48.840586
8.0,16.0,50.929549
9.0,16.0,44.978439
10.0,16.0,64.511368
11.0,16.0,80.999287
12.0,16.0,87.660522
13.0,16.0,94.34754
14.0,16.0,118.54277
15.0,16.0,119.8658
16.0,16.0,82.42263
17.0,16.0,75.68647
18.0,16.0,66.71301
19.0,16.0,44.41069
20.0,16.0,65.89809
21.0,16.0,75.21472
22.0,16.0,92.51416
23.0,16.0,100.3171
24.0,16.0,113.30207
25.0,16.0,127.46169
26.0,16.0,128.2866
27.0,16.0,142.17635
28.0,16.0,138.51252
29.0,16.0,128.7147
30.0,16.0,127.42975
31.0,16.0,125.81711
32.0,16.0,120.56913
33.0,16.0,99.27556
34.0,16.0,106.01206
35.0,16.0,110.62951
36.0,16.0,134.91512
37.0,16.0,151.5615
38.0,16.0,143.2225
39.0,16.0,111.85198
40.0,16.0,108.15746
1.0,17.0,40.530982
2.0,17.0,37.601622
3.0,17.0,31.918869
4.0,17.0,42.876186
5.0,17.0,35.892039
6.0,17.0,26.954866
7.0,17.0,44.666015
8.0,17.0,64.935176
9.0,17.0,83.561994
10.0,17.0,106.258613
11.0,17.0,114.58897
12.0,17.0,125.319087
13.0,17.0,140.1364
14.0,17.0,140.42929
15.0,17.0,121.27443
16.0,17.0,79.21466
17.0,17.0,79.51447
18.0,17.0,64.88362
19.0,17.0,64.16301
20.0,17.0,84.57153
21.0,17.0,108.15533
22.0,17.0,111.73134
23.0,17.0,124.39514
24.0,17.0,172.97549
25.0,17.0,176.62859
26.0,17.0,174.05406
27.0,17.0,162.08538
28.0,17.0,155.40081
29.0,17.0,155.75082
30.0,17.0,142.38276
31.0,17.0,133.42437
32.0,17.0,145.02642
33.0,17.0,166.144
34.0,17.0,167.12
35.0,17.0,157.2163
36.0,17.0,151.11081
37.0,17.0,152.4094
38.0,17.0,133.77221
39.0,17.0,112.13356
40.0,17.0,120.99111
1.0,18.0,43.52198
2.0,18.0,48.23161
3.0,18.0,51.680166
4.0,18.0,41.956197
5.0,18.0,48.317782
6.0,18.0,55.117593
7.0,18.0,71.767457
8.0,18.0,91.289038
9.0,18.0,111.311047
10.0,18.0,119.41994
11.0,18.0,112.239675
12.0,18.0,118.121961
13.0,18.0,130.71976
14.0,18.0,145.79011
15.0,18.0,126.45807
16.0,18.0,127.47145
17.0,18.0,131.16754
18.0,18.0,108.96183
19.0,18.0,98.66501
20.0,18.0,127.55958
21.0,18.0,164.56101
22.0,18.0,179.5603
23.0,18.0,192.2541
24.0,18.0,191.18201
25.0,18.0,174.09616
26.0,18.0,169.35581
27.0,18.0,169.04163
28.0,18.0,168.64538
29.0,18.0,172.0732
30.0,18.0,145.53582
31.0,18.0,111.32825
32.0,18.0,133.03025
33.0,18.0,158.6399
34.0,18.0,171.9313
35.0,18.0,176.5998
36.0,18.0,155.30898
37.0,18.0,147.52902
38.0,18.0,139.17439
39.0,18.0,126.06917
40.0,18.0,118.91769
1.0,19.0,51.41293
2.0,19.0,62.12205
3.0,19.0,75.67822
4.0,19.0,83.47089
5.0,19.0,82.528688
6.0,19.0,85.489979
7.0,19.0,107.38798
8.0,19.0,126.63151
9.0,19.0,136.03805
10.0,19.0,113.007123
11.0,19.0,104.282592
12.0,19.0,107.15773
13.0,19.0,111.421531
14.0,19.0,142.54706
15.0,19.0,151.2536
16.0,19.0,172.178
17.0,19.0,185.7371
18.0,19.0,209.8481
19.0,19.0,219.5143
20.0,19.0,215.7583
21.0,19.0,222.2998
22.0,19.0,206.3734
23.0,19.0,218.8512
24.0,19.0,191.11654
25.0,19.0,182.57039
26.0,19.0,164.44131
27.0,19.0,139.41891
28.0,19.0,128.25238
29.0,19.0,115.80079
30.0,19.0,102.67918
31.0,19.0,72.23113
32.0,19.0,130.85063
33.0,19.0,134.23027
34.0,19.0,128.21625
35.0,19.0,154.6731
36.0,19.0,136.56097
37.0,19.0,134.05143
38.0,19.0,149.6703
39.0,19.0,141.65609
40.0,19.0,119.39718
1.0,20.0,57.06447
2.0,20.0,86.04255
3.0,20.0,98.0217
4.0,20.0,77.56247
5.0,20.0,93.337222
6.0,20.0,113.656916
7.0,20.0,110.9772
8.0,20.0,113.23463
9.0,20.0,107.76658
10.0,20.0,90.419316
11.0,20.0,83.555352
12.0,20.0,97.434058
13.0,20.0,91.777142
14.0,20.0,124.63992
15.0,20.0,140.925451
16.0,20.0,198.4621
17.0,20.0,207.7898
18.0,20.0,222.3388
19.0,20.0,245.1647
20.0,20.0,266.1815
21.0,20.0,229.3092
22.0,20.0,207.2141
23.0,20.0,170.71663
24.0,20.0,170.63234
25.0,20.0,146.45835
26.0,20.0,142.13082
27.0,20.0,137.14908
28.0,20.0,130.46769
29.0,20.0,104.23379
30.0,20.0,97.274965
31.0,20.0,102.73414
32.0,20.0,96.15589
33.0,20.0,94.64575
34.0,20.0,100.49026
35.0,20.0,123.31066
36.0,20.0,138.1302
37.0,20.0,121.01588
38.0,20.0,119.38629
39.0,20.0,123.76903
40.0,20.0,105.28327
1.0,21.0,82.57618
2.0,21.0,92.06533
3.0,21.0,103.91042
4.0,21.0,119.333
5.0,21.0,121.983489
6.0,21.0,117.87893
7.0,21.0,125.15833
8.0,21.0,114.51112
9.0,21.0,80.852615
10.0,21.0,62.732656
11.0,21.0,73.492309
12.0,21.0,59.971588
13.0,21.0,105.421273
14.0,21.0,122.15406
15.0,21.0,149.7927
16.0,21.0,160.35571
17.0,21.0,174.63333
18.0,21.0,209.9306
19.0,21.0,211.23317
20.0,21.0,240.3437
21.0,21.0,209.9704
22.0,21.0,176.09243
23.0,21.0,151.457541
24.0,21.0,152.19884
25.0,21.0,124.63035
26.0,21.0,114.41632
27.0,21.0,85.84829
28.0,21.0,137.87577
29.0,21.0,131.70613
30.0,21.0,115.66184
31.0,21.0,112.94228
32.0,21.0,119.77274
33.0,21.0,112.71363
34.0,21.0,125.78554
35.0,21.0,112.92887
36.0,21.0,130.62752
37.0,21.0,118.31392
38.0,21.0,122.12501
39.0,21.0,106.80302
40.0,21.0,86.40724
1.0,22.0,82.39486
2.0,22.0,113.61185
3.0,22.0,106.24491
4.0,22.0,126.88638
5.0,22.0,135.59793
6.0,22.0,138.13906
7.0,22.0,139.21986
8.0,22.0,113.6075
9.0,22.0,105.035212
10.0,22.0,84.475366
11.0,22.0,80.115194
12.0,22.0,121.89475
13.0,22.0,111.4156
14.0,22.0,103.03365
15.0,22.0,88.09226
16.0,22.0,88.93349
17.0,22.0,155.47877
18.0,22.0,148.0344
19.0,22.0,172.334
20.0,22.0,115.38459
21.0,22.0,123.8477
22.0,22.0,109.44022
23.0,22.0,106.60501
24.0,22.0,132.8718
25.0,22.0,116.13676
26.0,22.0,86.12299
27.0,22.0,96.46485
28.0,22.0,98.05929
29.0,22.0,155.80576
30.0,22.0,156.50285
31.0,22.0,146.68336
32.0,22.0,145.2975
33.0,22.0,125.00018
34.0,22.0,133.09292
35.0,22.0,118.21651
36.0,22.0,115.49056
37.0,22.0,107.10606
38.0,22.0,84.20867
39.0,22.0,90.52458
40.0,22.0,64.55777
1.0,23.0,93.99868
2.0,23.0,102.6537
3.0,23.0,112.14821
4.0,23.0,117.51184
5.0,23.0,108.92236
6.0,23.0,118.19294
7.0,23.0,111.68231
8.0,23.0,106.86323
9.0,23.0,91.418543
10.0,23.0,92.792214
11.0,23.0,112.845071
12.0,23.0,119.40115
13.0,23.0,102.21825
14.0,23.0,91.97706
15.0,23.0,87.95375
16.0,23.0,90.99601
17.0,23.0,106.66687
18.0,23.0,129.00874
19.0,23.0,104.52039
20.0,23.0,63.64505
21.0,23.0,35.23865
22.0,23.0,57.52634
23.0,23.0,76.99076
24.0,23.0,120.00421
25.0,23.0,139.90377
26.0,23.0,127.14528
27.0,23.0,116.31379
28.0,23.0,140.78415
29.0,23.0,126.16269
30.0,23.0,127.16227
31.0,23.0,100.9041
32.0,23.0,97.76863
33.0,23.0,99.78707
34.0,23.0,93.07658
35.0,23.0,97.14723
36.0,23.0,101.73377
37.0,23.0,75.33023
38.0,23.0,81.88304
39.0,23.0,74.93347
40.0,23.0,57.62019
1.0,24.0,105.63223
2.0,24.0,105.80032
3.0,24.0,120.91198
4.0,24.0,115.82742
5.0,24.0,110.84771
6.0,24.0,120.53359
7.0,24.0,98.51269
8.0,24.0,102.166478
9.0,24.0,82.783033
10.0,24.0,92.854299
11.0,24.0,110.06991
12.0,24.0,111.44346
13.0,24.0,116.30245
14.0,24.0,84.79116
15.0,24.0,80.47562
16.0,24.0,124.3338
17.0,24.0,129.07747
18.0,24.0,112.04194
19.0,24.0,75.17502
20.0,24.0,50.03906
21.0,24.0,43.57672
22.0,24.0,43.01688
23.0,24.0,67.42861
24.0,24.0,72.80952
25.0,24.0,125.09887
26.0,24.0,129.54152
27.0,24.0,122.53193
28.0,24.0,117.43266
29.0,24.0,91.85233
30.0,24.0,101.7426
31.0,24.0,95.56413
32.0,24.0,90.32456
33.0,24.0,72.35496
34.0,24.0,55.88033
35.0,24.0,82.21484
36.0,24.0,65.05001
37.0,24.0,54.3314
38.0,24.0,69.02031
39.0,24.0,64.05257
40.0,24.0,47.89658
1.0,25.0,107.44511
2.0,25.0,113.28012
3.0,25.0,116.84991
4.0,25.0,116.15581
5.0,25.0,114.24712
6.0,25.0,113.31804
7.0,25.0,95.40196
8.0,25.0,100.70928
9.0,25.0,80.91171
10.0,25.0,108.35295
11.0,25.0,110.36742
12.0,25.0,63.50727
13.0,25.0,90.99334
14.0,25.0,97.02591
15.0,25.0,108.14478
16.0,25.0,128.78246
17.0,25.0,93.7227
18.0,25.0,78.84838
19.0,25.0,44.13431
20.0,25.0,45.94502
21.0,25.0,50.59579
22.0,25.0,64.03354
23.0,25.0,63.61199
24.0,25.0,69.18714
25.0,25.0,65.46073
26.0,25.0,87.87283
27.0,25.0,108.17555
28.0,25.0,114.24997
29.0,25.0,108.27191
30.0,25.0,86.33877
31.0,25.0,80.83195
32.0,25.0,48.04862
33.0,25.0,49.56033
34.0,25.0,49.17134
35.0,25.0,49.42964
36.0,25.0,57.77801
37.0,25.0,67.43081
38.0,25.0,59.94944
39.0,25.0,48.01413
40.0,25.0,44.99455
1.0,26.0,113.30808
2.0,26.0,118.63847
3.0,26.0,110.12735
4.0,26.0,93.75952
5.0,26.0,107.20616
6.0,26.0,87.20593
7.0,26.0,100.31776
8.0,26.0,110.40766
9.0,26.0,128.71535
10.0,26.0,127.03459
11.0,26.0,112.32437
12.0,26.0,100.85583
13.0,26.0,107.487081
14.0,26.0,102.504951
15.0,26.0,98.22703
16.0,26.0,118.45526
17.0,26.0,79.37539
18.0,26.0,50.01506
19.0,26.0,51.60779
20.0,26.0,47.27517
21.0,26.0,40.38987
22.0,26.0,58.4194
23.0,26.0,60.17102
24.0,26.0,72.87761
25.0,26.0,77.11955
26.0,26.0,60.24844
27.0,26.0,73.82111
28.0,26.0,111.39179
29.0,26.0,120.00027
30.0,26.0,100.4621
31.0,26.0,70.10157
32.0,26.0,78.36896
33.0,26.0,68.11179
34.0,26.0,45.64275
35.0,26.0,62.04467
36.0,26.0,69.71491
37.0,26.0,74.92052
38.0,26.0,82.38592
39.0,26.0,71.05157
40.0,26.0,56.71479
1.0,27.0,94.11358
2.0,27.0,103.30109
3.0,27.0,99.7085
4.0,27.0,90.073
5.0,27.0,76.55426
6.0,27.0,71.830374
7.0,27.0,87.246169
8.0,27.0,88.065893
9.0,27.0,102.67062
10.0,27.0,98.11475
11.0,27.0,111.59366
12.0,27.0,105.402166
13.0,27.0,95.265374
14.0,27.0,74.060268
15.0,27.0,77.801555
16.0,27.0,70.22072
17.0,27.0,51.64232
18.0,27.0,58.43725
19.0,27.0,59.18927
20.0,27.0,51.0806
21.0,27.0,60.50844
22.0,27.0,64.15419
23.0,27.0,75.73362
24.0,27.0,65.21939
25.0,27.0,72.38446
26.0,27.0,65.79178
27.0,27.0,84.21275
28.0,27.0,77.19136
29.0,27.0,101.7428
30.0,27.0,92.54944
31.0,27.0,104.30177
32.0,27.0,92.15983
33.0,27.0,115.20864
34.0,27.0,93.81929
35.0,27.0,88.27696
